District,Date,Sox,Nox,PM10,NH3,AQI
"Nizamabad
",1-Jan,6,22.4,61,,61
"Nizamabad
",1-Feb,6,22.4,61,,61
"Nizamabad
",1-Mar,5.9,22.2,66,,66
"Nizamabad
",1-Apr,5.9,21.8,70,,70
"Nizamabad
",1-May,5.9,22.6,47,,54
"Nizamabad
",1-Jun,5.9,22.3,64,,64
"Nizamabad
",1-Jul,5.7,22.5,59,,59
"Nizamabad
",1-Aug,5.6,22.4,60,,60
"Nizamabad
",1-Sep,5.8,23.1,64,,64
"Nizamabad
",1-Oct,6.2,23.6,48,,48
"Nizamabad
",1-Nov,5.6,25,56,,60
"Nizamabad
",1-Dec,5.7,24.6,62,,62
"Nizamabad
",1-Jan,5.5,24.3,64,,64
"Nizamabad
",1-Feb,5.6,24.9,61,,61
"Nizamabad
",1-Mar,5.6,24.4,6,,61
"Nizamabad
",1-Apr,5.6,23.4,62,,62
"Nizamabad
",1-May,5.5,25,64,,64
"Nizamabad
",1-Jun,5.7,26,64,,69
"Nizamabad
",1-Jul,5.4,25.6,64,,72
"Nizamabad
",1-Aug,4.8,24.4,65,,71
"Nizamabad
",1-Sep,4.4,23.5,63,,61
"Nizamabad
",1-Oct,4.8,25.2,64,,69
"Nizamabad
",1-Nov,4.6,24.7,62,,62
"Nizamabad
",1-Dec,5.4,25.9,63,,66
"Nizamabad
",1-Jan,5.5,27.3,60,10,64
"Nizamabad
",1-Feb,5.5,26.6,60,10,64
"Nizamabad
",1-Mar,,,,,666
"Nizamabad
",1-Apr,,,,,38
"Nizamabad
",1-May,,,,,50
"Nizamabad
",1-Jun,4.9,24.1,52,10,52
"Nizamabad
",1-Jul,5.2,25.8,63,10,63
"Nizamabad
",1-Aug,4.7,22.2,60,10,60
"Nizamabad
",1-Sep,5.4,24.8,60,10,62
"Nizamabad
",1-Oct,5.2,24.7,62,10,62
"Nizamabad
",1-Nov,6.1,25.9,62,10,63
"Nizamabad
",1-Dec,6,26.4,71,10,81
"Nizamabad
",1-Jan,5.8,24.7,68,15,69
"Nizamabad
",1-Feb,5.1,23.4,67,20,68
"Nizamabad
",1-Mar,5.7,24.8,66,20,66
"Nizamabad
",1-Apr,5.3,25.1,67,19,69
"Nizamabad
",1-May,6,26,60,17,41
"Nizamabad
",1-Jun,,,,,
"Nizamabad
",1-Jul,5.7,24.8,54,16,54
"Nizamabad
",1-Aug,5.3,22.4,45,15,45
"Nizamabad
",1-Sep,5,23.1,43,16,43
"Nizamabad
",1-Oct,6.2,27.3,59,17,59
"Nizamabad
",1-Nov,6.4,26.7,66,17,66
"Nizamabad
",1-Dec,5.8,25.5,57,14,57
"Nizamabad
",1-Jan,6.9,25.5,56,14,56
"Nizamabad
",1-Feb,7.5,27.5,59,15,59
"Nizamabad
",1-Mar,6.6,26.1,64,17,64
"Nizamabad
",1-Apr,7.8,24,58,16,58
"Nizamabad
",1-May,7.3,24.6,56,14,56
"Nizamabad
",1-Jun,6,23.4,52,15,54
"Nizamabad
",1-Jul,5.5,21.3,46,13,46
"Nizamabad
",1-Aug,6.7,23.3,52,14,53
"Nizamabad
",1-Sep,7.9,25,51,16,54
"Nizamabad
",1-Oct,8.6,27.4,61,18,63
"Nizamabad
",1-Nov,6.8,25,56,16,56
"Nizamabad
",1-Dec,7.5,22.6,60,17,59
Adilabad,1-Jan,6.1,21.3,66,,66
Adilabad,1-Feb,6.2,21.5,67,,67
Adilabad,1-Mar,6,21.3,70,,70
Adilabad,1-Apr,6,22.1,74,,74
Adilabad,1-May,5.9,22.4,74,,74
Adilabad,1-Jun,5.8,22.4,69,,69
Adilabad,1-Jul,5.9,22.4,64,,64
Adilabad,1-Aug,5.7,22.4,64,,64
Adilabad,1-Sep,5.7,23.9,61,,62
Adilabad,1-Oct,5.9,25.8,67,,67
Adilabad,1-Nov,6.3,26.8,71,,75
Adilabad,1-Dec,5.7,24.9,81,,81
Adilabad,1-Jan,5.9,24.8,74,,76
Adilabad,1-Feb,6,24.8,75,,77
Adilabad,1-Mar,5.7,24.5,76,,79
Adilabad,1-Apr,5.7,24.3,77,,78
Adilabad,1-May,5.2,24.8,80,,80
Adilabad,1-Jun,5.4,25.7,75,,77
Adilabad,1-Jul,5.5,26,76,,78
Adilabad,1-Aug,4.7,24.3,77,,79
Adilabad,1-Sep,4.4,23.5,57,,73
Adilabad,1-Oct,4.7,24.9,72,,72
Adilabad,1-Nov,4.5,24.6,75,,79
Adilabad,1-Dec,5.2,25.7,73,,73
Adilabad,1-Jan,5.8,27.6,78,10,78
Adilabad,1-Feb,5.6,26.6,82,10,82
Adilabad,1-Mar,4.7,22.2,71,10,71
Adilabad,1-Apr,2,15.8,52,10,52
Adilabad,1-May,,,,,
Adilabad,1-Jun,4.7,24.2,75,10,74
Adilabad,1-Jul,5.5,24,74,10,74
Adilabad,1-Aug,4.6,21.5,72,10,72
Adilabad,1-Sep,5.3,23.7,72,10,72
Adilabad,1-Oct,5.3,23.8,72,10,72
Adilabad,1-Nov,,,,,
Adilabad,1-Dec,,,,,
Adilabad,1-Jan,,,,,
Adilabad,1-Feb,5.1,23,62,20,62
Adilabad,1-Mar,6.6,25.2,73,18,73
Adilabad,1-Apr,6.1,25.4,74,19,74
Adilabad,1-May,6,23,67,17,67
Adilabad,1-Jun,,,,,
Adilabad,1-Jul,,,,,
Adilabad,1-Aug,,,,,
Adilabad,1-Sep,,,,,
Adilabad,1-Oct,,,,,
Adilabad,1-Nov,,,,,
Adilabad,1-Dec,,,,,
Adilabad,1-Jan,,,,,
Adilabad,1-Feb,,,,,
Adilabad,1-Mar,8.2,25.6,56,14,56
Adilabad,1-Apr,9.5,28.2,65,18,65
Adilabad,1-May,7.9,26.5,60,14,60
Adilabad,1-Jun,8.6,25,57,16,58
Adilabad,1-Jul,6.8,23.1,48,15,48
Adilabad,1-Aug,8.5,26.2,56,17,56
Adilabad,1-Sep,9.7,27.5,54,19,56
Adilabad,1-Oct,10.9,29.3,62,21,65
Adilabad,1-Nov,7.5,26.4,58,18,58
Adilabad,1-Dec,9.5,25.3,62,20,62
Warangal Urban,1-Jan,8.3,26.2,127,22,117
Warangal Urban,1-Feb,6.3,36.8,92,52,91
Warangal Urban,1-Mar,7.3,32.8,80,60,80
Warangal Urban,1-Apr,8.4,36.9,82,48,82
Warangal Urban,1-May,8.4,39.4,84,47,84
Warangal Urban,1-Jun,16.5,28.4,86,58,86
Warangal Urban,1-Jul,8.6,33.9,73,55,73
Warangal Urban,1-Aug,8.8,36.9,79,52,79
Warangal Urban,1-Sep,8.7,36.3,81,52,81
Warangal Urban,1-Oct,8.9,39.2,86,57,86
