,Date,No. of Diesel cars
0,1/13/2019,503
1,1/14/2019,261
2,1/15/2019,246
3,1/16/2019,257
4,1/17/2019,835
5,1/18/2019,1118
6,1/19/2019,1083
7,1/20/2019,561
8,1/21/2019,576
9,1/22/2019,1049
10,1/23/2019,1084
11,1/24/2019,1114
12,1/25/2019,1266
13,1/26/2019,764
14,1/27/2019,28
15,1/28/2019,476
16,1/29/2019,989
17,1/30/2019,1354
18,1/31/2019,1860
19,2/1/2019,1104
20,2/2/2019,843
21,2/3/2019,1233
22,2/4/2019,543
23,2/5/2019,473
24,2/6/2019,455
25,2/7/2019,783
26,2/8/2019,755
27,2/9/2019,53
28,2/10/2019,733
29,2/11/2019,1127
30,2/12/2019,348
31,2/13/2019,1095
32,2/14/2019,1203
33,2/15/2019,1377
34,2/16/2019,1347
35,2/17/2019,635
36,2/18/2019,604
37,2/19/2019,1099
38,2/20/2019,1136
39,2/21/2019,1289
40,2/22/2019,1379
41,2/23/2019,1287
42,2/24/2019,590
43,2/25/2019,591
44,2/26/2019,1193
45,2/27/2019,1309
46,2/28/2019,1808
47,3/1/2019,1442
48,3/2/2019,388
49,3/3/2019,576
50,3/4/2019,754
51,3/5/2019,832
52,3/6/2019,329
53,3/7/2019,676
54,3/8/2019,903
55,3/9/2019,330
56,3/10/2019,1084
57,3/11/2019,451
58,3/12/2019,792
59,3/13/2019,1303
60,3/14/2019,1287
61,3/15/2019,1178
62,3/16/2019,1378
63,3/17/2019,788
64,3/18/2019,760
65,3/19/2019,1232
66,3/20/2019,1185
67,3/21/2019,790
68,3/22/2019,888
69,3/23/2019,1299
70,3/24/2019,540
71,3/25/2019,754
72,3/26/2019,1345
73,3/27/2019,1418
74,3/28/2019,1481
75,3/29/2019,1438
76,3/30/2019,2068
77,3/31/2019,2027
78,4/1/2019,1344
79,4/2/2019,359
80,4/3/2019,381
81,4/4/2019,868
82,4/5/2019,672
83,4/6/2019,730
84,4/7/2019,882
85,4/8/2019,434
86,4/9/2019,702
87,4/10/2019,1770
88,4/11/2019,388
89,4/12/2019,840
90,4/13/2019,811
91,4/14/2019,364
92,4/15/2019,515
93,4/16/2019,940
94,4/17/2019,929
95,4/18/2019,1018
96,4/19/2019,939
97,4/20/2019,811
98,4/21/2019,408
99,4/22/2019,476
100,4/23/2019,948
101,4/24/2019,1002
102,4/25/2019,1085
103,4/26/2019,1163
104,4/27/2019,1013
105,4/28/2019,430
106,4/29/2019,797
107,4/30/2019,1689
108,5/1/2019,951
109,5/2/2019,733
110,5/3/2019,529
111,5/4/2019,903
112,5/5/2019,299
113,5/6/2019,644
114,5/7/2019,960
115,5/8/2019,545
116,5/9/2019,847
117,5/10/2019,1740
118,5/11/2019,877
119,5/12/2019,821
120,5/13/2019,150
121,5/14/2019,679
122,5/15/2019,1051
123,5/16/2019,1123
124,5/17/2019,1276
125,5/18/2019,1151
126,5/19/2019,520
127,5/20/2019,507
128,5/21/2019,875
129,5/22/2019,881
130,5/23/2019,1089
131,5/24/2019,1180
132,5/25/2019,974
133,5/26/2019,429
134,5/27/2019,421
135,5/28/2019,899
136,5/29/2019,1254
137,5/30/2019,1565
138,5/31/2019,1809
139,6/1/2019,334
140,6/2/2019,1068
141,6/3/2019,573
142,6/4/2019,714
143,6/5/2019,444
144,6/6/2019,721
145,6/7/2019,838
146,6/8/2019,906
147,6/9/2019,760
148,6/10/2019,1164
149,6/11/2019,1076
150,6/12/2019,1164
151,6/13/2019,1379
152,6/14/2019,1291
153,6/15/2019,1222
154,6/16/2019,613
155,6/17/2019,570
156,6/18/2019,1060
157,6/19/2019,1130
158,6/20/2019,1240
159,6/21/2019,1313
160,6/22/2019,1194
161,6/23/2019,510
162,6/24/2019,611
163,6/25/2019,1189
164,6/26/2019,1334
165,6/27/2019,1774
166,6/28/2019,1965
167,6/29/2019,1926
168,6/30/2019,1336
169,7/1/2019,608
170,7/2/2019,1337
171,7/3/2019,868
172,7/4/2019,249
173,7/5/2019,960
174,7/6/2019,997
175,7/7/2019,399
176,7/8/2019,860
177,7/9/2019,715
178,7/10/2019,1749
179,7/11/2019,1155
180,7/12/2019,1096
181,7/13/2019,1032
182,7/14/2019,394
183,7/15/2019,386
184,7/16/2019,776
185,7/17/2019,799
186,7/18/2019,972
187,7/19/2019,1108
188,7/20/2019,936
189,7/21/2019,407
190,7/22/2019,474
191,7/23/2019,910
192,7/24/2019,889
193,7/25/2019,847
194,7/26/2019,878
195,7/27/2019,894
196,7/28/2019,433
197,7/29/2019,472
198,7/30/2019,951
199,7/31/2019,1172
200,8/1/2019,1049
201,8/2/2019,1374
202,8/3/2019,1273
203,8/4/2019,508
204,8/5/2019,953
205,8/6/2019,956
206,8/7/2019,495
207,8/8/2019,890
208,8/9/2019,415
209,8/10/2019,2115
210,8/11/2019,1195
